Plots_id,Location_id,Plot,Seeding,Fert. Treatment,Till. Treatment
112,1,6-12,Full,Full Synthetic,No Till
113,1,6-13,Fallow,1/2 Manure,No Till
114,1,6-14,Moderate,1/2 Manure,No Till
115,1,6-15,Limited,1/2 Manure,No Till
116,1,6-16,Full,1/2 Manure,No Till
117,1,6-17,Fallow,Full Manure,No Till
118,1,6-18,Moderate,Full Manure,No Till
119,1,6-19,Limited,Full Manure,No Till
120,1,6-20,Full,Full Manure,No Till
121,2,1-1,Fallow,1/2 Synthetic,No Till
122,2,1-2,Moderate,1/2 Synthetic,No Till
123,2,1-3,Full,1/2 Synthetic,No Till
124,2,1-4,Limited,1/2 Synthetic,No Till
125,2,1-5,Fallow,Full Manure,No Till
126,2,1-6,Moderate,Full Manure,No Till
127,2,1-7,Full,Full Manure,No Till
128,2,1-8,Limited,Full Manure,No Till
129,2,1-9,Fallow,Control,No Till
130,2,1-10,Moderate,Control,No Till
131,2,1-11,Full,Control,No Till
132,2,1-12,Limited,Control,No Till
133,2,1-13,Fallow,Full Synthetic,No Till
134,2,1-14,Moderate,Full Synthetic,No Till
135,2,1-15,Full,Full Synthetic,No Till
136,2,1-16,Limited,Full Synthetic,No Till
137,2,1-17,Fallow,1/2 Manure,No Till
138,2,1-18,Moderate,1/2 Manure,No Till
139,2,1-19,Full,1/2 Manure,No Till
140,2,1-20,Limited,1/2 Manure,No Till
141,2,2-1,Limited,1/2 Manure,No Till
142,2,2-2,Fallow,1/2 Manure,No Till
143,2,2-3,Moderate,1/2 Manure,No Till
144,2,2-4,Full,1/2 Manure,No Till
145,2,2-5,Limited,Full Synthetic,No Till
146,2,2-6,Fallow,Full Synthetic,No Till
147,2,2-7,Moderate,Full Synthetic,No Till
148,2,2-8,Full,Full Synthetic,No Till
149,2,2-9,Limited,Full Manure,No Till
150,2,2-10,Fallow,Full Manure,No Till
151,2,2-11,Moderate,Full Manure,No Till
152,2,2-12,Full,Full Manure,No Till
153,2,2-13,Limited,1/2 Synthetic,No Till
154,2,2-14,Fallow,1/2 Synthetic,No Till
155,2,2-15,Moderate,1/2 Synthetic,No Till
156,2,2-16,Full,1/2 Synthetic,No Till
157,2,2-17,Limited,Control,No Till
158,2,2-18,Fallow,Control,No Till
159,2,2-19,Moderate,Control,No Till
160,2,2-20,Full,Control,No Till
161,2,3-1,Fallow,Full Synthetic,No Till
162,2,3-2,Moderate,Full Synthetic,No Till
163,2,3-3,Limited,Full Synthetic,No Till
164,2,3-4,Full,Full Synthetic,No Till
165,2,3-5,Fallow,Full Manure,No Till
166,2,3-6,Moderate,Full Manure,No Till
167,2,3-7,Limited,Full Manure,No Till
168,2,3-8,Full,Full Manure,No Till
169,2,3-9,Fallow,1/2 Manure,No Till
170,2,3-10,Moderate,1/2 Manure,No Till
171,2,3-11,Limited,1/2 Manure,No Till
172,2,3-12,Full,1/2 Manure,No Till
173,2,3-13,Fallow,1/2 Synthetic,No Till
174,2,3-14,Moderate,1/2 Synthetic,No Till
175,2,3-15,Limited,1/2 Synthetic,No Till
176,2,3-16,Full,1/2 Synthetic,No Till
177,2,3-17,Fallow,Control,No Till
178,2,3-18,Moderate,Control,No Till
179,2,3-19,Limited,Control,No Till
180,2,3-20,Full,Control,No Till
181,2,4-1,Full,Full Manure,No Till
182,2,4-2,Fallow,Full Manure,No Till
183,2,4-3,Moderate,Full Manure,No Till
184,2,4-4,Limited,Full Manure,No Till
185,2,4-5,Full,Control,No Till
186,2,4-6,Fallow,Control,No Till
187,2,4-7,Moderate,Control,No Till
188,2,4-8,Limited,Control,No Till
189,2,4-9,Full,1/2 Manure,No Till
190,2,4-10,Fallow,1/2 Manure,No Till
191,2,4-11,Moderate,1/2 Manure,No Till
192,2,4-12,Limited,1/2 Manure,No Till
193,2,4-13,Full,Full Synthetic,No Till
194,2,4-14,Fallow,Full Synthetic,No Till
195,2,4-15,Moderate,Full Synthetic,No Till
196,2,4-16,Limited,Full Synthetic,No Till
197,2,4-17,Full,1/2 Synthetic,No Till
198,2,4-18,Fallow,1/2 Synthetic,No Till
199,2,4-19,Moderate,1/2 Synthetic,No Till
200,2,4-20,Limited,1/2 Synthetic,No Till
201,2,5-1,Full,Full Manure,No Till
202,2,5-2,Limited,Full Manure,No Till
203,2,5-3,Fallow,Full Manure,No Till
204,2,5-4,Moderate,Full Manure,No Till
205,2,5-5,Full,1/2 Manure,No Till
206,2,5-6,Limited,1/2 Manure,No Till
207,2,5-7,Fallow,1/2 Manure,No Till
208,2,5-8,Moderate,1/2 Manure,No Till
209,2,5-9,Full,Control,No Till
210,2,5-10,Limited,Control,No Till
211,2,5-11,Fallow,Control,No Till
212,2,5-12,Moderate,Control,No Till
213,2,5-13,Full,Full Synthetic,No Till
214,2,5-14,Limited,Full Synthetic,No Till
215,2,5-15,Fallow,Full Synthetic,No Till
216,2,5-16,Moderate,Full Synthetic,No Till
217,2,5-17,Full,1/2 Synthetic,No Till
218,2,5-18,Limited,1/2 Synthetic,No Till
219,2,5-19,Fallow,1/2 Synthetic,No Till
220,2,5-20,Moderate,1/2 Synthetic,No Till
221,2,6-1,Fallow,Control,No Till
222,2,6-2,Moderate,Control,No Till
223,2,6-3,Limited,Control,No Till
224,2,6-4,Full,Control,No Till
225,2,6-5,Fallow,1/2 Synthetic,No Till
226,2,6-6,Moderate,1/2 Synthetic,No Till
227,2,6-7,Limited,1/2 Synthetic,No Till
228,2,6-8,Full,1/2 Synthetic,No Till
229,2,6-9,Fallow,Full Synthetic,No Till
230,2,6-10,Moderate,Full Synthetic,No Till
231,2,6-11,Limited,Full Synthetic,No Till
232,2,6-12,Full,Full Synthetic,No Till
233,2,6-13,Fallow,1/2 Manure,No Till
234,2,6-14,Moderate,1/2 Manure,No Till
235,2,6-15,Limited,1/2 Manure,No Till
236,2,6-16,Full,1/2 Manure,No Till
237,2,6-17,Fallow,Full Manure,No Till
238,2,6-18,Moderate,Full Manure,No Till
239,2,6-19,Limited,Full Manure,No Till
240,2,6-20,Full,Full Manure,No Till
