,Plot,Sample_Date,latitude,longitude,northing,easting,elevation,Plots_id,Treatments_id
61,502,2024-08-13,31.05296644,-97.35215148,3436638.512,657236.807,165.376,82,82
62,504,2024-08-13,31.05293036,-97.3520328,3436634.68,657248.193,165.354,84,84
63,508,2024-08-13,31.05287621,-97.35205515,3436628.646,657246.149,165.311,88,88
64,506,2024-08-13,31.05291903,-97.35217468,3436633.223,657234.671,165.345,86,86
65,505,2024-08-13,31.05293841,-97.35223803,3436635.282,657228.594,165.363,85,85
66,509,2024-08-13,31.05288487,-97.35226046,3436629.315,657226.541,165.298,89,89
67,510,2024-08-13,31.05286904,-97.35219736,3436627.65,657232.589,165.28,90,90
68,512,2024-08-13,31.05282485,-97.3520788,3436622.92,657243.976,165.299,92,92
69,516,2024-08-13,31.05277121,-97.35210153,3436616.942,657241.895,165.301,96,96
70,514,2024-08-13,31.05281351,-97.35222132,3436621.461,657230.394,165.26,94,94
71,513,2024-08-13,31.05283677,-97.35228477,3436623.949,657224.301,165.314,93,93
72,517,2024-08-13,31.05278544,-97.35230576,3436618.23,657222.382,165.285,97,97
73,518,2024-08-13,31.05276726,-97.35224138,3436616.306,657228.556,165.309,98,98
74,520,2024-08-13,31.05272197,-97.35212328,3436611.453,657239.901,165.357,100,100
75,602,2024-08-13,31.05286555,-97.35185674,3436627.746,657265.101,165.422,102,102
76,603,2024-08-13,31.05284893,-97.35179589,3436625.989,657270.935,165.503,103,103
77,604,2024-08-13,31.05282533,-97.35174077,3436623.452,657276.234,165.496,104,104
78,608,2024-08-13,31.05277289,-97.35176607,3436617.603,657273.906,165.507,108,108
79,607,2024-08-13,31.0527963,-97.35181928,3436620.122,657268.79,165.498,107,107
80,606,2024-08-13,31.05281354,-97.35188037,3436621.947,657262.931,165.419,106,106
81,610,2024-08-13,31.05276204,-97.35190455,3436616.204,657260.709,165.416,110,110
82,611,2024-08-13,31.05274353,-97.35184331,3436614.239,657266.583,165.501,111,111
83,612,2024-08-13,31.05272337,-97.35178694,3436612.084,657271.996,165.501,112,112
84,616,2024-08-13,31.05266931,-97.35181192,3436606.056,657269.701,165.542,116,116
85,615,2024-08-13,31.05269272,-97.35186571,3436608.575,657264.529,165.51,115,115
86,614,2024-08-13,31.05271008,-97.35192758,3436610.412,657258.596,165.452,114,114
87,618,2024-08-13,31.05265809,-97.35195309,3436604.613,657256.247,165.499,118,118
88,619,2024-08-13,31.05264618,-97.35188811,3436603.385,657262.468,165.563,119,119
89,620,2024-08-13,31.05261774,-97.35183538,3436600.307,657267.547,165.578,120,120
